relative_path,sha256,size_bytes,role
.gitattributes,b32cc011fd0226bda56f7d3dbea8f74cf53afbfd10d34aec6ca94f2df7a655dc,187,
.gitignore,500c014bb9e597d0b96fd5a431dbfcc7202a746ae786628c174cbc0a67252234,640,repository exclusions
CITATION.cff,1f63ca8a9b16357ed7318f6ebf13b1501208ba461276ccccce880588de3df4c8,1870,citation metadata (placeholders pending author input)
data/supplementary/README.md,9635f958e65c8f9d66599dc5928eafcc9622f1b05da5886c971cf4e9f755ceeb,3127,explains why no supplementary data file is shipped
environment/environment_versions.md,26a9e09256f8708e3ae0e70f1d2ea638d6dc6f50a70210a17976549f67a3f932,6824,recorded execution environments with evidence
environment/requirements-recorded.txt,2429687b98fc25e760a8d73c6add6a9e6f56a30cf3caa5525e3bbec1a6eb6841,2427,machine-readable version record (not an install file)
environment/requirements_aurkb_prescreening.txt,c77650d7c808850682d73f65a9a0e17fb4c3180811cbf75445c8b9a89a73138d,79,authors' declared dependency floor for stage 1
journal/CODE_AVAILABILITY_DRAFT.md,2c320a6672bb359bedb436bb0f7d5c1611b92aeb1191fb9d6c127e07b6546ac0,4676,draft Code Availability statement
journal/ONLINE_RESOURCE_CAPTION.md,f001441ba1eb776e642ca19fce4d3a712db79411e87fc1b25da327c4ff90c5bf,4285,draft Online Resource caption
journal/ZENODO_RELEASE_CHECKLIST.md,d6c38c5bc6d9371f920a5cea5e7f863d1b2f7e8b1ab5b43d84712dba9d04e8f1,5705,archival release checklist
notebooks/01_AURKB_COCONUT_Prescreening.ipynb,79433f2b952c8c35e4d5432ddd9fc7444bc0da7a2770b605d15145e5b25f740f,28681,"submission notebook, stage 1 (prescreening)"
notebooks/02_AURKB_Classical_QSAR_Reproduction.ipynb,0066854eeaeb89f3910052feba91779daabe6dcd841c655761e9b421cd4e212b,1260241,"submission notebook, stage 2 (classical QSAR)"
notebooks/03_AURKB_GCN_Consensus_Screening.ipynb,13e887850b0176110662e360cd617cf146a9d578597e177738d54faa60ff14bd,1194066,"submission notebook, stage 3 (GCN and consensus)"
provenance/comment_only_code_diff.tsv,e01616a6d4943eec28bad19c22366dec27b1f249d4a83e754c11b87a28cdfc8a,481,line-level proof that code-cell edits are comment-only
provenance/notebook_integrity_report.json,8419f3914ea7d74f1a2abc741075f155ee4b1e472081dad4ece58da715a46240,4892,original vs submission-copy integrity comparison
provenance/notebook_original_hashes.txt,6f3c9f21aea7a5a72f3dc4bd6f2ec4ea38919197102829ac26d5d262e763681c,593,SHA-256 of the locked original notebooks
README.md,a59ca05054e7645dc34a66bf729221987c795c1f58bebeb3bf7536eec38c55d0,10528,repository overview
REPRODUCIBILITY.md,a5377843f94a0b87b5d85171c7135091e662f8106d7193b9b087ae93e2211012,11082,"lineage, reproducible vs preserved values, limitations"
scripts/aurkb_prescreening_vscode.py,27f4979142422cb657278508bac89a91e6b63d42d209ca2ffec58ee8075b101e,27970,exact prescreening implementation imported by notebook 1
THIRD_PARTY_DATA_AND_LICENSE_NOTES.md,5687b28f43f19028324a2ea9f8e99e055580386643d8ef4536745f8136cd3ba4,5745,third-party data sources and licence questions
